iter	Passed	Remaining
1183	8572	8803
1184	8576	8793
1185	8581	8784
1186	8586	8774
1187	8591	8765
1188	8606	8766
1189	8613	8758
1190	8619	8749
1191	8623	8739
1192	8628	8730
1193	8634	8720
1194	8639	8711
1195	8655	8713
1196	8662	8706
1197	8667	8696
1198	8673	8687
1199	8677	8677
1200	8682	8668
1201	8687	8658
1202	8692	8649
1203	8705	8647
1204	8711	8639
1205	8716	8629
1206	8721	8620
1207	8726	8610
1208	8730	8600
1209	8735	8591
1210	8740	8581
1211	8752	8579
1212	8758	8570
1213	8764	8562
1214	8769	8552
1215	8773	8543
1216	8779	8534
1217	8784	8524
1218	8789	8515
1219	8807	8518
1220	8811	8508
1221	8817	8499
1222	8821	8490
1223	8827	8481
1224	8831	8471
1225	8836	8461
1226	8848	8459
1227	8859	8455
1228	8863	8445
1229	8869	8436
1230	8874	8427
1231	8879	8418
1232	8885	8409
1233	8900	8410
1234	8910	8405
1235	8915	8396
1236	8920	8386
1237	8925	8377
1238	8929	8367
1239	8934	8358
1240	8945	8354
1241	8956	8351
1242	8966	8346
1243	8973	8338
1244	8978	8329
1245	8983	8320
1246	8995	8317
1247	9006	8313
1248	9012	8305
1249	9019	8297
1250	9025	8289
1251	9031	8281
1252	9043	8278
1253	9056	8276
1254	9061	8267
1255	9068	8259
1256	9073	8250
1257	9078	8241
1258	9084	8232
1259	9099	8232
1260	9107	8226
1261	9113	8218
1262	9119	8210
1263	9126	8202
1264	9132	8193
1265	9145	8192
1266	9155	8186
1267	9160	8178
1268	9165	8168
1269	9171	8160
1270	9176	8151
1271	9181	8142
1272	9201	8146
1273	9206	8136
1274	9210	8127
1275	9215	8117
1276	9220	8108
1277	9225	8099
1278	9229	8089
1279	9249	8093
1280	9254	8084
1281	9259	8075
1282	9265	8066
1283	9269	8057
1284	9275	8048
1285	9279	8038
1286	9291	8035
1287	9302	8031
1288	9307	8021
1289	9312	8012
1290	9316	8003
1291	9322	7994
1292	9327	7985
1293	9331	7975
1294	9350	7978
1295	9355	7969
1296	9360	7960
1297	9365	7951
1298	9371	7942
1299	9376	7933
1300	9384	7927
1301	9399	7926
1302	9404	7917
1303	9409	7908
1304	9413	7899
1305	9419	7890
1306	9424	7881
1307	9429	7872
1308	9447	7873
1309	9451	7864
1310	9457	7855
1311	9462	7846
1312	9466	7837
1313	9472	7828
1314	9476	7819
1315	9496	7822
1316	9501	7813
1317	9505	7803
1318	9510	7794
1319	9515	7785
1320	9519	7775
1321	9525	7767
1322	9531	7759
1323	9548	7760
1324	9553	7751
1325	9558	7742
1326	9564	7733
1327	9569	7724
1328	9573	7715
1329	9589	7714
1330	9598	7708
1331	9603	7700
1332	9608	7690
1333	9613	7681
1334	9618	7672
1335	9622	7663
1336	9638	7663
1337	9647	7657
1338	9653	7649
1339	9659	7640
1340	9663	7631
1341	9669	7622
1342	9674	7613
1343	9685	7610
1344	9696	7606
1345	9701	7596
1346	9707	7588
1347	9712	7579
1348	9717	7570
1349	9723	7562
1350	9734	7558
1351	9746	7555
1352	9752	7546
1353	9757	7538
1354	9763	7530
1355	9768	7520
1356	9773	7512
1357	9793	7514
1358	9799	7506
1359	9804	7497
1360	9809	7488
1361	9814	7479
1362	9819	7470
1363	9824	7462
1364	9843	7463
1365	9847	7454
1366	9853	7445
1367	9858	7436
1368	9863	7428
1369	9868	7419
1370	9873	7410
1371	9893	7413
1372	9898	7403
1373	9903	7394
1374	9907	7385
1375	9912	7376
1376	9917	7367
1377	9922	7358
1378	9941	7360
1379	9946	7352
1380	9953	7344
1381	9958	7335
1382	9978	7337
1383	9983	7329
1384	9989	7320
1385	9994	7312
1386	10000	7304
1387	10005	7295
1388	10021	7294
1389	10031	7289
1390	10037	7280
1391	10042	7272
1392	10047	7263
1393	10052	7254
1394	10058	7246
1395	10078	7248
1396	10083	7239
1397	10087	7230
1398	10092	7221
1399	10096	7212
1400	10101	7202
1401	10106	7194
1402	10126	7195
1403	10131	7187
1404	10136	7178
1405	10141	7169
1406	10146	7160
1407	10151	7152
1408	10156	7143
1409	10166	7138
1410	10176	7133
1411	10182	7124
1412	10186	7115
1413	10191	7106
1414	10196	7097
1415	10200	7088
1416	10205	7079
1417	10214	7073
1418	10227	7070
1419	10233	7062
1420	10238	7053
1421	10243	7045
1422	10249	7036
1423	10254	7028
1424	10273	7029
1425	10279	7020
1426	10283	7012
1427	10288	7003
1428	10293	6994
1429	10298	6985
1430	10303	6976
1431	10324	6979
1432	10329	6970
1433	10333	6961
1434	10338	6952
1435	10344	6944
1436	10349	6935
1437	10354	6926
1438	10374	6928
1439	10378	6919
1440	10383	6910
1441	10388	6901
1442	10393	6893
1443	10398	6884
1444	10403	6875
1445	10423	6876
1446	10427	6867
1447	10433	6859
1448	10437	6850
1449	10442	6841
1450	10447	6833
1451	10452	6824
1452	10473	6826
1453	10478	6817
1454	10483	6808
1455	10487	6799
1456	10492	6790
1457	10497	6782
1458	10501	6773
1459	10516	6771
1460	10524	6763
1461	10529	6755
1462	10533	6746
1463	10539	6738
1464	10543	6729
1465	10548	6720
1466	10554	6712
1467	10570	6711
1468	10575	6702
1469	10580	6693
1470	10584	6684
1471	10589	6676
1472	10594	6667
1473	10599	6658
1474	10610	6654
1475	10621	6649
1476	10626	6640
1477	10631	6631
1478	10635	6622
1479	10639	6613
1480	10645	6605
1481	10650	6597
1482	10669	6597
1483	10674	6588
1484	10678	6579
1485	10683	6571
1486	10688	6562
1487	10692	6553
1488	10697	6544
1489	10706	6538
1490	10712	6530
1491	10720	6524
1492	10725	6515
1493	10729	6506
1494	10734	6498
1495	10739	6489
1496	10743	6480
1497	10748	6471
1498	10764	6470
1499	10770	6462
1500	10775	6453
1501	10780	6445
1502	10785	6436
1503	10790	6428
1504	10794	6419
1505	10799	6410
1506	10818	6410
1507	10822	6401
1508	10827	6393
1509	10832	6384
1510	10837	6376
1511	10842	6367
1512	10847	6359
1513	10866	6359
1514	10871	6350
1515	10875	6341
1516	10880	6333
1517	10885	6324
1518	10890	6316
1519	10895	6307
1520	10908	6304
1521	10917	6297
1522	10921	6289
1523	10926	6280
1524	10930	6271
1525	10935	6263
1526	10940	6254
1527	10945	6246
1528	10963	6245
1529	10968	6237
1530	10974	6229
1531	10979	6220
1532	10984	6212
1533	10989	6203
1534	10994	6195
1535	11005	6190
1536	11015	6185
1537	11020	6176
1538	11026	6168
1539	11032	6160
1540	11037	6152
1541	11043	6144
1542	11054	6139
1543	11064	6134
1544	11069	6125
1545	11074	6117
1546	11079	6109
1547	11084	6100
1548	11089	6092
1549	11094	6083
1550	11106	6079
1551	11112	6072
1552	11117	6063
1553	11122	6055
1554	11127	6047
1555	11132	6038
1556	11137	6030
1557	11142	6021
1558	11160	6020
1559	11164	6011
1560	11169	6003
1561	11174	5995
1562	11179	5986
1563	11184	5978
1564	11189	5969
1565	11200	5965
1566	11212	5960
1567	11217	5952
1568	11223	5944
1569	11227	5935
1570	11232	5927
1571	11237	5919
1572	11243	5911
1573	11260	5909
1574	11265	5900
1575	11269	5892
1576	11274	5883
1577	11279	5875
1578	11283	5867
1579	11288	5858
1580	11308	5858
1581	11313	5849
1582	11318	5841
1583	11323	5833
1584	11328	5825
1585	11333	5816
1586	11338	5808
1587	11360	5808
1588	11365	5800
1589	11369	5792
1590	11374	5783
1591	11380	5775
1592	11384	5767
1593	11389	5759
1594	11409	5758
1595	11414	5750
1596	11419	5742
1597	11424	5733
1598	11429	5725
1599	11434	5717
1600	11440	5709
1601	11459	5708
1602	11464	5699
1603	11468	5691
1604	11473	5683
1605	11478	5675
1606	11484	5667
1607	11490	5659
1608	11507	5657
1609	11513	5649
1610	11518	5641
1611	11523	5632
1612	11528	5624
1613	11532	5616
1614	11539	5608
1615	11555	5606
1616	11560	5597
1617	11565	5589
1618	11570	5581
1619	11575	5573
1620	11580	5565
1621	11585	5557
1622	11602	5554
1623	11608	5546
1624	11613	5538
1625	11618	5530
1626	11624	5522
1627	11629	5514
1628	11634	5506
1629	11653	5505
1630	11659	5497
1631	11664	5488
1632	11669	5481
1633	11674	5472
1634	11680	5465
1635	11684	5456
1636	11704	5455
1637	11709	5447
1638	11714	5438
1639	11719	5430
1640	11724	5422
1641	11729	5414
1642	11735	5407
1643	11752	5404
1644	11757	5396
1645	11762	5388
1646	11767	5380
1647	11772	5372
1648	11777	5363
1649	11781	5355
1650	11795	5351
1651	11804	5344
1652	11809	5336
1653	11814	5328
1654	11819	5320
1655	11824	5312
1656	11828	5304
1657	11845	5300
1658	11853	5294
1659	11858	5286
1660	11863	5278
1661	11868	5269
1662	11873	5261
1663	11878	5253
1664	11884	5246
1665	11900	5242
1666	11905	5234
1667	11909	5226
1668	11914	5218
1669	11919	5210
1670	11924	5202
